"Feed_ID","Vehicle_ID","FullRegistration","Colour","FuelType","Year","Mileage","Bodytype","Doors","Make","Model","Variant","EngineSize","Price","PreviousPrice","Transmission","PictureRefs","ServiceHistory","PreviousOwners","Description","FourWheelDrive","Options","Comments","New","Used","Site","Origin","V5","Condition","ExDemo","FranchiseApproved","TradePrice","TradePriceExtra","ServiceHistoryText","Cap_ID"
"AETA27382","AETV10141035","YG57ORX","BLUE","Petrol","2007","100000","Hatchback","5","VAUXHALL","ASTRA","1.4i 16V Life","1364","2495","","Manual","https://cdn.images.autoexposure.co.uk/AETA27382/AETV10141035_1b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV10141035_2b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV10141035_3b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV10141035_4b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV10141035_5b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV10141035_6b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV10141035_7b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV10141035_8b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV10141035_9b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV10141035_10b.jpg","0","","","0","Comes With 12mth Service, Full MOT, ABS, Drivers Airbag, Folding Rear Seats, Front Electric Windows, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Remote Central Locking, Service Indicator, Side Airbags, Steering Wheel Rake Adjustment, Steering Wheel Reach Adjustment, Trip Computer","","0","1","","UK","0","","0","0","","","","27107"
"AETA27382","AETV10333229","BN66ZHB","BRONZE","Petrol","2016","9000","Hatchback","5","NISSAN","QASHQAI","DIG-T 115 N-Connecta 18&quot; Xtronic","1198","17495","","Automatic","https://cdn.images.autoexposure.co.uk/AETA27382/AETV10333229_1b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV10333229_2b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV10333229_3b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV10333229_4b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV10333229_5b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV10333229_6b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV10333229_7b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV10333229_8b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV10333229_9b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV10333229_10b.jpg","0","","","0","RARE AUTO!! LOW MILES!!, ABS, Alarm, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Cruise Control, Drivers Airbag, Electric Door Mirrors, Folding Rear Seats, Front Electric Windows, Front Fog Lights, Heated Door Mirrors, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Reverse Parking Aid, Satellite Navigation, Service Indicator, Side Airbags, Steering Wheel Rake Adjustment, Steering Wheel Reach Adjustment, Traction Control, Trip Computer, Comes With 12mth Service, 12mth Complimentary RAC Cover, Remainder Of Nissan Warranty Until 27.10.2019, At Polesworth Garage Ltd we believe that charging administration fees as many other dealers do is wrong and is nothing more than dishonest profiteering, So at Polesworth Garage Ltd you will never find any hidden fees or costs added to the advertised price, All our retail cars are hpi checked, valeted and serviced, mot carried out where required, Finance can be arranged at very competitive rates even if you do not have a good credit history, we look at your ability to pay in all cases.","","0","1","","UK","0","","0","0","","","","73659"
"AETA27382","AETV11355502","BP67PLV","BLACK","Diesel","2017","9","Hatchback","5","NISSAN","QASHQAI","1.5 dCi N-Connecta","1461","22895","","Manual","https://cdn.images.autoexposure.co.uk/AETA27382/AETV11355502_1b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV11355502_2b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV11355502_3b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV11355502_4b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV11355502_5b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV11355502_6b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV11355502_7b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV11355502_8b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV11355502_9b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV11355502_10b.jpg","0","","","0","ABS, Alarm, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Climate Control, Cruise Control, Drivers Airbag, Electric Door Mirrors, Folding Rear Seats, Front Electric Windows, Front Fog Lights, Heated Door Mirrors, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Reverse Parking Aid, Satellite Navigation, Service Indicator, Side Airbags, Steering Wheel Rake Adjustment, Steering Wheel Reach Adjustment, Traction Control, Trip Computer At Polesworth Garage Ltd we believe that charging administration fees as many other dealers do is wrong and is nothing more than dishonest profiteering,So at Polesworth Garage Ltd you will never find any hidden fees or costs added to the advertised price,All our retail cars are hpi checked, valeted and serviced, mot carried out where required,Finance can be arranged at very competitive rates even if you do not have a good credit history, we look at your ability to pay in all cases, All Our Nissan Cars Come With 12 Months Complimentary RAC Cover.","","0","1","","UK","0","","0","0","","","","73659"
"AETA27382","AETV11728659","BK63HDN","Blade Silver","Petrol","2013","26968","Hatchback","5","NISSAN","MICRA","1.2 Visia","1198","5495","","Manual","https://cdn.images.autoexposure.co.uk/AETA27382/AETV11728659_1b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV11728659_2b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV11728659_3b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV11728659_4b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV11728659_5b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV11728659_6b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV11728659_7b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV11728659_8b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV11728659_9b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV11728659_10b.jpg","0","2","","0","2 Previous Owners, ABS, Body Coloured Bumpers, Drivers Airbag, Front Electric Windows, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Remote Central Locking, Service Indicator, Side Airbags, Steering Wheel Rake Adjustment, Traction Control, Trip Computer, At Polesworth Garage Ltd we believe that charging administration fees as many other dealers do is wrong and is nothing more than dishonest profiteering,So at Polesworth Garage Ltd you will never find any hidden fees or costs added to the advertised price,All our retail cars are hpi checked, valeted and serviced, mot carried out where required,Finance can be arranged at very competitive rates even if you do not have a good credit history, we look at your ability to pay in all cases, All Our Nissan Cars Come With 12 Months Complimentary RAC Cover.","","0","1","","UK","0","","0","0","","","","61920"
"AETA27382","AETV12039709","BJ59WFT","Nero black","Petrol","2009","93000","Hatchback","3","NISSAN","MICRA","1.2 80 Visia","1240","2995","","Manual","https://cdn.images.autoexposure.co.uk/AETA27382/AETV12039709_1b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV12039709_2b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV12039709_3b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV12039709_4b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV12039709_5b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV12039709_6b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV12039709_7b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV12039709_8b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV12039709_9b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV12039709_10b.jpg","0","","","0","Insurance Group 2, ABS, Body Coloured Bumpers, Drivers Airbag, Front Electric Windows, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Remote Central Locking, Service Indicator, Side Airbags, Steering Wheel Rake Adjustment, Comes With 12mth Service, Full MOT, 12mth Complimentary RAC Cover, At Polesworth Garage Ltd we believe that charging administration fees as many other dealers do is wrong and is nothing more than dishonest profiteering, So at Polesworth Garage Ltd you will never find any hidden fees or costs added to the advertised price, All our retail cars are hpi checked, valeted and serviced, mot carried out where required, Finance can be arranged at very competitive rates even if you do not have a good credit history, we look at your ability to pay in all cases.","","0","1","","UK","0","","0","0","","","","44436"
"AETA27382","AETV12837318","BV63JYE","Sapphire black","Petrol","2013","18000","Hatchback","5","NISSAN","MICRA","1.2 Acenta","1198","6495","","Manual","https://cdn.images.autoexposure.co.uk/AETA27382/AETV12837318_1b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV12837318_2b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV12837318_3b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV12837318_4b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV12837318_5b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV12837318_6b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV12837318_7b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV12837318_8b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV12837318_9b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV12837318_10b.jpg","0","","","0","SUPPLIED AND SERVICED BY PG FROM NEW!!, ABS, Air Conditioning, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Drivers Airbag, Electric Door Mirrors, Folding Rear Seats, Front Electric Windows, Front Fog Lights, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Remote Central Locking, Service Indicator, Side Airbags, Steering Wheel Rake Adjustment, Traction Control, Trip Computer, Comes With 12mth Service, Full MOT, 12mth Complimentary RAC Cover, At Polesworth Garage Ltd we believe that charging administration fees as many other dealers do is wrong and is nothing more than dishonest profiteering, So at Polesworth Garage Ltd you will never find any hidden fees or costs added to the advertised price, All our retail cars are hpi checked, valeted and serviced, mot carried out where required, Finance can be arranged at very competitive rates even if you do not have a good credit history, we look at your ability to pay in all cases","","0","1","","UK","0","","0","0","","","","48563"
"AETA27382","AETV13353682","FP06GHK","Amazon green","Petrol","2006","73000","4x4","5","NISSAN","X-TRAIL","2.5 SVE","2488","3495","","Manual","https://cdn.images.autoexposure.co.uk/AETA27382/AETV13353682_1b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13353682_2b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13353682_3b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13353682_4b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13353682_5b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13353682_6b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13353682_7b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13353682_8b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13353682_9b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13353682_10b.jpg","0","","","1","Insurance Group 11, ABS, Alarm, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Climate Control, Cruise Control, Drivers Airbag, Electric Door Mirrors, Electric Sunroof, Front Electric Windows, Front Fog Lights, Heated Door Mirrors, Heated Front Seat, Immobiliser, Leather Seats, Passenger Airbag, Power Steering, Radio/Cassette, Radio/CD Multichanger, Rear Electric Windows, Remote Central Locking, Roof Rails, Side Airbags, Steering Wheel Rake Adjustment, Steering Wheel Reach Adjustment, Comes With 12mth Service, Full MOT, 12mth Complimentary RAC Cover, At Polesworth Garage Ltd we believe that charging administration fees as many other dealers do is wrong and is nothing more than dishonest profiteering, So at Polesworth Garage Ltd you will never find any hidden fees or costs added to the advertised price, All our retail cars are hpi checked, valeted and serviced, mot carried out where required, Finance can be arranged at very competitive rates even if you do not have a good credit history, we look at your ability to pay in all cases.","","0","1","","UK","0","","0","0","","","","24331"
"AETA27382","AETV13592632","WF63DWJ","BLUE","Petrol","2013","26570","Hatchback","5","TOYOTA","YARIS","1.33 VVT-i TR","1329","6995","","Manual","https://cdn.images.autoexposure.co.uk/AETA27382/AETV13592632_1b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13592632_2b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13592632_3b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13592632_4b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13592632_5b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13592632_6b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13592632_7b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13592632_8b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13592632_9b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13592632_10b.jpg","0","","","0","ABS, Air Conditioning, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Drivers Airbag, Electric Door Mirrors, Folding Rear Seats, Front Electric Windows, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Remote Central Locking, Reverse Parking Aid, Side Airbags, Steering Wheel Rake Adjustment, Steering Wheel Reach Adjustment, Traction Control, Trip Computer, At Polesworth Garage Ltd we believe that charging administration fees as many other dealers do is wrong and is nothing more than dishonest profiteering,So at Polesworth Garage Ltd you will never find any hidden fees or costs added to the advertised price,All our retail cars are hpi checked, valeted and serviced, mot carried out where required,Finance can be arranged at very competitive rates even if you do not have a good credit history, we look at your ability to pay in all cases.","","0","1","","UK","0","","0","0","","","","51929"
"AETA27382","AETV13875132","BN64BTX","WHITE","Diesel","2014","23792","MPV","5","NISSAN","NOTE","1.5 dCi Acenta Premium","1461","7750","","Manual","https://cdn.images.autoexposure.co.uk/AETA27382/AETV13875132_1b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13875132_2b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13875132_3b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13875132_4b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13875132_5b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13875132_6b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13875132_7b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13875132_8b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13875132_9b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV13875132_10b.jpg","0","1","","0","1 Previous Owner, ABS, Alarm, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Climate Control, Cruise Control, Drivers Airbag, Folding Rear Seats, Front Electric Windows, Front Fog Lights, Heated Door Mirrors, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Satellite Navigation, Service Indicator, Side Airbags, Steering Wheel Rake Adjustment, Traction Control, Trip Computer, At Polesworth Garage Ltd we believe that charging administration fees as many other dealers do is wrong and is nothing more than dishonest profiteering,So at Polesworth Garage Ltd you will never find any hidden fees or costs added to the advertised price,All our retail cars are hpi checked, valeted and serviced, mot carried out where required,Finance can be arranged at very competitive rates even if you do not have a good credit history, we look at your ability to pay in all cases, All Our Nissan Cars Come With 12 Months Complimentary RAC Cover.","","0","1","","UK","0","","0","0","","","","61917"
"AETA27382","AETV14103256","LS14RBO","Gun metal","Electric","2014","24288","Hatchback","5","NISSAN","LEAF","Acenta Auto","1","10495","","Automatic","https://cdn.images.autoexposure.co.uk/AETA27382/AETV14103256_1b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV14103256_2b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV14103256_3b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV14103256_4b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV14103256_5b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV14103256_6b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV14103256_7b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV14103256_8b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV14103256_9b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV14103256_10b.jpg","0","1","","0","1 Previous Owner, ABS, Alarm, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Climate Control, Cruise Control, Drivers Airbag, Electric Door Mirrors, Folding Rear Seats, Front Electric Windows, Front Fog Lights, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Reverse Parking Aid, Satellite Navigation, Side Airbags, Steering Wheel Rake Adjustment, Traction Control, Trip Computer, At Polesworth Garage Ltd we believe that charging administration fees as many other dealers do is wrong and is nothing more than dishonest profiteering,So at Polesworth Garage Ltd you will never find any hidden fees or costs added to the advertised price,All our retail cars are hpi checked, valeted and serviced, mot carried out where required,Finance can be arranged at very competitive rates even if you do not have a good credit history, we look at your ability to pay in all cases, All Our Nissan Cars Come With 12 Months Complimentary RAC Cover.","","0","1","","UK","0","","0","0","","","","60549"
"AETA27382","AETV15928186","BG67VTV","GREY","Diesel","2017","5000","Pick Up","5","NISSAN","NAVARA","Double Cab Pick Up Tekna 2.3dCi 190 4WD Auto","2298","21995","","Automatic","https://cdn.images.autoexposure.co.uk/AETA27382/AETV15928186_1b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV15928186_2b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV15928186_3b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV15928186_4b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV15928186_5b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV15928186_6b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV15928186_7b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV15928186_8b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV15928186_9b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV15928186_10b.jpg","0","","","0","TOP SPEC, LOW MILES!!, ABS, Alloy Wheels, Bluetooth, Central Locking, Climate Control, Drivers Airbag, Electric Heated Front Seats, Electric Windows, Immobiliser, Leather Interior, Loadliner, Passenger Airbag, Power Steering, Rear View Camera, Roller Shutter Top, Roof Bars, Satellite Navigation, Side Steps, Comes With Nissan Warranty Until 18.10.2020, Roadside Assistance Until 18.10.2020, At Polesworth Garage Ltd we believe that charging administration fees as many other dealers do is wrong and is nothing more than dishonest profiteering, So at Polesworth Garage Ltd you will never find any hidden fees or costs added to the advertised price, All our retail cars are hpi checked, valeted and serviced, mot carried out where required, Finance can be arranged at very competitive rates even if you do not have a good credit history, we look at your ability to pay in all cases, THE FINAL PRICE OF THE VEHICLE WILL BE PLUS VAT., Price Plus VAT","","0","1","","UK","0","","0","0","","","","39511"
"AETA27382","AETV16010791","VN62NHZ","MAUVE","Petrol","2012","33000","Hatchback","3","FIAT","500","1.2 Lounge","1242","5995","","Manual","https://cdn.images.autoexposure.co.uk/AETA27382/AETV16010791_1b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16010791_2b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16010791_3b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16010791_4b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16010791_5b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16010791_6b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16010791_7b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16010791_8b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16010791_9b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16010791_10b.jpg","0","","","0","Insurance Group 4, ABS, Air Conditioning, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Drivers Airbag, Electric Door Mirrors, Folding Rear Seats, Front Electric Windows, Height Adjustable Drivers Seat, Passenger Airbag, Power Steering, Radio/CD, Remote Central Locking, Side Airbags, Comes With 12mth Service, Full MOT, At Polesworth Garage Ltd we believe that charging administration fees as many other dealers do is wrong and is nothing more than dishonest profiteering, So at Polesworth Garage Ltd you will never find any hidden fees or costs added to the advertised price, All our retail cars are hpi checked, valeted and serviced, mot carried out where required, Finance can be arranged at very competitive rates even if you do not have a good credit history, we look at your ability to pay in all cases.","","0","1","","UK","0","","0","0","","","","39088"
"AETA27382","AETV16171034","BJ65TVK","Flame red","Diesel","2015","22800","Hatchback","5","NISSAN","NOTE","1.5 dCi Acenta Premium","1461","8995","","Manual","https://cdn.images.autoexposure.co.uk/AETA27382/AETV16171034_1b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16171034_2b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16171034_3b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16171034_4b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16171034_5b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16171034_6b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16171034_7b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16171034_8b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16171034_9b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16171034_10b.jpg","0","","","0","ABS, Alarm, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Climate Control, Cruise Control, Drivers Airbag, Electric Door Mirrors, Folding Rear Seats, Front Electric Windows, Front Fog Lights, Heated Door Mirrors, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Satellite Navigation, Service Indicator, Side Airbags, Steering Wheel Rake Adjustment, Traction Control, Trip Computer, At Polesworth Garage Ltd we believe that charging administration fees as many other dealers do is wrong and is nothing more than dishonest profiteering,So at Polesworth Garage Ltd you will never find any hidden fees or costs added to the advertised price,All our retail cars are hpi checked, valeted and serviced, mot carried out where required,Finance can be arranged at very competitive rates even if you do not have a good credit history, we look at your ability to pay in all cases, All Our Nissan Cars Come With 12 Months Complimentary RAC Cover.","","0","1","","UK","0","","0","0","","","","61917"
"AETA27382","AETV16411877","BV13PXN","BEIGE","Petrol","2013","82000","MPV","5","NISSAN","NOTE","1.4 N-Tec+","1386","4750","","Manual","https://cdn.images.autoexposure.co.uk/AETA27382/AETV16411877_1b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16411877_2b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16411877_3b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16411877_4b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16411877_5b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16411877_6b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16411877_7b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16411877_8b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16411877_9b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16411877_10b.jpg","0","","","0","ABS, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Climate Control, Cruise Control, Drivers Airbag, Electric Door Mirrors, Folding Rear Seats, Front Electric Windows, Front Fog Lights, Half Leather Seats, Heated Door Mirrors, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD, Rear Electric Windows, Remote Central Locking, Reverse Parking Aid, Satellite Navigation, Service Indicator, Side Airbags, Steering Wheel Rake Adjustment, Telephone, Traction Control, Trip Computer, Comes With 12mth Service, Full MOT, 12mth Complimentary RAC Cover, At Polesworth Garage Ltd we believe that charging administration fees as many other dealers do is wrong and is nothing more than dishonest profiteering, So at Polesworth Garage Ltd you will never find any hidden fees or costs added to the advertised price, All our retail cars are hpi checked, valeted and serviced, mot carried out where required, Finance can be arranged at very competitive rates even if you do not have a good credit history, we look at your ability to pay in all cases.","","0","1","","UK","0","","0","0","","","","54518"
"AETA27382","AETV16480695","LR61GAA","SILVER","Diesel","2011","116855","Estate","5","MERCEDES-BENZ","E CLASS","E250 CDI BlueEFFICIENCY Sport Tip Auto [7]","2143","9750","","Automatic","https://cdn.images.autoexposure.co.uk/AETA27382/AETV16480695_1b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16480695_2b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16480695_3b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16480695_4b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16480695_5b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16480695_6b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16480695_7b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16480695_8b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16480695_9b.jpg,https://cdn.images.autoexposure.co.uk/AETA27382/AETV16480695_10b.jpg","0","","","0","ABS, Alarm, Alloy Wheels, Audio Remote Control, Body Coloured Bumpers, Drivers Airbag, Electric Door Mirrors, Electrically Adjustable Drivers Seat, Electrically Adjustable Passenger Seat, Folding Rear Seats, Front Electric Windows, Half Leather Seats, Headlight Washers, Heated Door Mirrors, Heated Front Seat, Height Adjustable Drivers Seat, Immobiliser, Passenger Airbag, Power Steering, Radio/CD Multichanger, Rear Electric Windows, Remote Central Locking, Reverse Parking Aid, Roof Rails, Service Indicator, Side Airbags, Sports Seats, Steering Wheel Rake Adjustment, Steering Wheel Reach Adjustment, Traction Control, Trip Computer, At Polesworth Garage Ltd we believe that charging administration fees as many other dealers do is wrong and is nothing more than dishonest profiteering,So at Polesworth Garage Ltd you will never find any hidden fees or costs added to the advertised price,All our retail cars are hpi checked, valeted and serviced, mot carried out where required,Finance can be arranged at very competitive rates even if you do not have a good credit history, we look at your ability to pay in all cases.","","0","1","","UK","0","","0","0","","","","50923"
